# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	5.879999999999999893e+00	5.879999999999999810e-03	nan	7.864628870705266811e-03	1.012950588210476399e-01	3.939776924335327765e-03
nan	1.404000000000000092e+01	1.404000000000000213e-02	nan	8.254363773702698068e-03	1.034992488439547831e-01	3.997510993361133927e-03
nan	3.203999999999999915e+01	3.203999999999999904e-02	nan	1.002790524386938317e-02	7.362433173864701974e-02	4.093849630673105852e-03
nan	5.692000000000000171e+01	5.691999999999999144e-02	nan	1.242689014570487471e-02	7.887086032269632896e-02	4.213722175833324937e-03
nan	1.016400000000000006e+02	1.016399999999999942e-01	nan	1.132361441513050904e-02	8.765564905731512702e-02	4.183135319562083544e-03
nan	1.483599999999999852e+02	1.483599999999999919e-01	nan	1.343806206128476607e-02	8.447090335409915274e-02	4.272774037878264777e-03
nan	2.148000000000000114e+02	2.148000000000000187e-01	nan	1.398861685799602204e-02	9.145645915862085640e-02	3.869941944120895618e-03
nan	2.710400000000000205e+02	2.710400000000000031e-01	nan	1.341276501143795485e-02	8.773961185452693046e-02	4.140127682529879359e-03
nan	3.309199999999999591e+02	3.309200000000000474e-01	nan	1.318897131954258929e-02	8.323719601489376618e-02	4.204987415596654621e-03
nan	4.005600000000000023e+02	4.005599999999999161e-01	nan	1.512314366771363473e-02	9.163366382406401556e-02	4.108449996587389130e-03
nan	4.678000000000000114e+02	4.677999999999999936e-01	nan	1.525245607510100979e-02	8.879142227116103292e-02	4.069513126446154191e-03
nan	5.440800000000000409e+02	5.440800000000000081e-01	nan	1.618252434727366837e-02	9.016088726547547005e-02	3.946997267060368443e-03
nan	5.853199999999999363e+02	5.853199999999999514e-01	nan	1.624900319433265905e-02	7.910282229176648916e-02	4.225693657034490167e-03
