,Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.12,40,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.12,41,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.12,42,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.12,43,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.12,44,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.12,45,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.12,46,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.12,47,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.12,48,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.12,49,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.12,50,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.12,51,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.12,52,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.12,53,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.12,54,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.12,55,100000.0,,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.12,56,100000.0,,33.6,0.033600000000000005,,0.03645564816014141,0.2170998569319477,0.021616802503580133
17,17,0.12,57,100000.0,,60.6,0.0606,,0.03902341629215479,0.22375212356522253,0.023031692290790415
18,18,0.12,58,100000.0,,108.4,0.10839999999999998,,0.04494347926276419,0.15981416704942825,0.013802889238677807
19,19,0.12,59,100000.0,,185.2,0.1852,,0.045493970313010834,0.1720188861859718,0.02139708331809196
20,20,0.12,60,100000.0,,333.2,0.33320000000000005,,0.05279560418936598,0.18135911634564847,0.022166230496227252
21,21,0.12,61,100000.0,,546.2,0.5462,,0.05400458121061291,0.17629417271350994,0.02208542488401939
22,22,0.12,62,100000.0,,852.6,0.8526,,0.05840789958767657,0.20676295992628443,0.020212004156606865
23,23,0.12,63,100000.0,,1248.0,1.2479999999999996,,0.06026878558397328,0.18617756426927173,0.022591178941767966
24,24,0.12,64,100000.0,,1781.4,1.7814,,0.062458811505793216,0.1789616228146975,0.02165705821073196
25,25,0.12,65,100000.0,,2401.6,2.4016,,0.06322021035391856,0.1868824388689709,0.02194244841679982
26,26,0.12,66,100000.0,,3265.0,3.265,,0.06454474258637503,0.20016889079634792,0.0219598876402582
27,27,0.12,67,100000.0,,4158.2,4.158199999999999,,0.06603988174780114,0.2005069887284572,0.022512219374402065
28,28,0.12,68,100000.0,,5417.6,5.4176,,0.06547936394391911,0.18572692016297287,0.022333833155036942
29,29,0.12,69,100000.0,,6775.0,6.775,,0.06815939771645389,0.19442748010287983,0.021591504511204816
30,30,0.12,70,100000.0,,8186.399999999999,8.1864,,0.06911133617614951,0.19528499895173493,0.02161432111084114
31,31,0.12,71,100000.0,,9724.2,9.7242,,0.07052452496745047,0.2023212184273224,0.02140269918635553
32,32,0.12,72,100000.0,,11207.0,11.207000000000003,,0.071521636259871,0.1993277696500567,0.020651000217521972
33,33,0.12,73,100000.0,,12475.4,12.4754,,0.07237814061725487,0.1971831820281956,0.022640497817695327
