# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	nan	nan	nan	nan	nan	nan
nan	4.599999999999999645e+00	4.600000000000000790e-03	nan	3.455954993261511898e-02	2.649434122511115652e-01	1.633308809673386999e-02
nan	1.900000000000000000e+01	1.899999999999999953e-02	nan	4.327115213741071498e-02	4.711796466838404918e-01	1.988215375727370865e-02
nan	4.100000000000000000e+01	4.100000000000000172e-02	nan	4.266072605191886802e-02	4.872461653574509666e-01	1.985491938036490489e-02
nan	9.840000000000000568e+01	9.840000000000000135e-02	nan	4.483196381659612650e-02	4.407220435610593734e-01	1.804905018725035462e-02
nan	1.905999999999999943e+02	1.906000000000000194e-01	nan	5.601899668924374687e-02	3.708550340013353486e-01	1.732637795235483086e-02
nan	3.348000000000000114e+02	3.347999999999999865e-01	nan	6.362374958885937126e-02	4.236994910466888586e-01	2.011864233504212507e-02
nan	5.100000000000000000e+02	5.100000000000000089e-01	nan	6.484701714326775168e-02	3.943402425157493951e-01	2.230903435077475835e-02
nan	7.162000000000000455e+02	7.161999999999999478e-01	nan	6.049471579500505236e-02	4.459255411290095061e-01	1.966971080653721199e-02
nan	9.186000000000000227e+02	9.185999999999999721e-01	nan	7.010043170697315140e-02	4.406885098938120859e-01	1.999307966486352228e-02
nan	1.106599999999999909e+03	1.106600000000000028e+00	nan	7.193246892896354439e-02	4.529913721048713926e-01	2.047186623847743053e-02
nan	1.328599999999999909e+03	1.328600000000000003e+00	nan	7.618509638725186328e-02	4.040150243865152646e-01	1.793299486294124348e-02
nan	1.554200000000000045e+03	1.554200000000000248e+00	nan	7.591714655239342746e-02	3.919481095177488328e-01	1.934893502844037272e-02
nan	1.807000000000000000e+03	1.806999999999999940e+00	nan	7.971167851384279579e-02	4.350049848553845244e-01	1.981126281352292226e-02
nan	1.948599999999999909e+03	1.948600000000000110e+00	nan	8.213415824066885862e-02	4.422510565837255436e-01	1.999031908006205713e-02
nan	2.197199999999999818e+03	2.197200000000000042e+00	nan	8.356438056750334353e-02	4.343945646978654151e-01	1.936591758163368551e-02
