# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	2.160000000000000142e+01	2.160000000000000114e-02	nan	3.811615612133369135e-02	4.907241444998315383e-01	2.029378530666964275e-02
nan	7.779999999999999716e+01	7.780000000000000804e-02	nan	3.910940914363059129e-02	4.875685078295531882e-01	2.033798290942368664e-02
nan	2.391999999999999886e+02	2.391999999999999960e-01	nan	4.425192310847734373e-02	4.101542814519844593e-01	2.092953980119851426e-02
nan	6.083999999999999773e+02	6.084000000000000519e-01	nan	5.645445307402781332e-02	4.170390226184501614e-01	2.268301113951132209e-02
nan	1.280799999999999955e+03	1.280799999999999939e+00	nan	5.997323154651894306e-02	4.741201627339977631e-01	2.281653470296589672e-02
nan	2.345400000000000091e+03	2.345400000000000151e+00	nan	6.360683932124118478e-02	4.700630320058079015e-01	2.187761918433928088e-02
nan	3.846000000000000000e+03	3.846000000000000085e+00	nan	6.660686481254174396e-02	4.487761830956400466e-01	2.171774102173031767e-02
nan	5.915600000000000364e+03	5.915599999999999525e+00	nan	6.942923641667846091e-02	4.388154564167375815e-01	2.152042466196242218e-02
nan	8.082800000000000182e+03	8.082800000000000651e+00	nan	7.108248932254354613e-02	4.485782026745569473e-01	2.129668179303614156e-02
nan	9.921799999999999272e+03	9.921800000000001063e+00	nan	6.854165732804899658e-02	4.558348725712245697e-01	2.154096656815856006e-02
nan	1.199179999999999927e+04	1.199180000000000135e+01	nan	7.250899713203864949e-02	4.292669758618757325e-01	2.103301226751401812e-02
nan	1.409739999999999964e+04	1.409739999999999860e+01	nan	7.729341439641075617e-02	4.498193340234813431e-01	2.067843051830902182e-02
nan	1.634060000000000036e+04	1.634060000000000201e+01	nan	7.967917215517275609e-02	4.525623536566786287e-01	2.109779741937316613e-02
nan	1.819379999999999927e+04	1.819379999999999953e+01	nan	8.150988092411921848e-02	4.597637965831157247e-01	1.959135688879900389e-02
nan	1.994120000000000073e+04	1.994120000000000203e+01	nan	8.382596111389659099e-02	4.476108198817767558e-01	2.012011421555435359e-02
