# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	1.036687500000000000e+03	1.036687499999999984e+00	nan	1.422700022570699829e-02	1.123567668740173275e-01	5.704771609238656893e-03
nan	1.656875000000000000e+03	1.656874999999999876e+00	nan	1.536723090651559431e-02	1.062014084621047127e-01	6.038997300552684244e-03
nan	2.382875000000000000e+03	2.382874999999999854e+00	nan	1.588564952057236468e-02	1.117290472876010660e-01	5.807675326316208420e-03
nan	3.238500000000000000e+03	3.238499999999999712e+00	nan	1.639838856362896280e-02	1.131703862479888634e-01	5.731485570082073266e-03
nan	4.135312500000000000e+03	4.135312500000000391e+00	nan	1.697799977801306426e-02	1.094829191215669351e-01	5.889595459336427474e-03
nan	5.101437500000000000e+03	5.101437500000000291e+00	nan	1.745955247705754942e-02	1.110360389146769211e-01	5.680016506122598230e-03
nan	5.988125000000000000e+03	5.988125000000000142e+00	nan	1.793822439209691311e-02	1.132260018523213452e-01	5.483076146634124903e-03
nan	6.628187500000000000e+03	6.628187500000000121e+00	nan	1.821840058030588239e-02	1.127686956796539741e-01	5.416014055683038286e-03
nan	7.309750000000000000e+03	7.309750000000001080e+00	nan	1.892804046624974035e-02	1.108546090598247769e-01	5.394325817461687045e-03
nan	7.923062500000000000e+03	7.923062500000000341e+00	nan	1.946326528391750799e-02	1.133718035617874431e-01	5.249340174453942520e-03
nan	8.541562500000000000e+03	8.541562499999999503e+00	nan	1.993813874543537423e-02	1.109206704093142898e-01	5.161334007213247421e-03
nan	8.990000000000000000e+03	8.989999999999998437e+00	nan	2.047293307726150147e-02	1.118458142219269230e-01	5.126991847555162352e-03
nan	9.432000000000000000e+03	9.432000000000000384e+00	nan	2.096119041421573570e-02	1.097151871068456630e-01	5.002602369347020073e-03
