# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	1.900000000000000000e+01	1.900000000000000300e-02	nan	4.054537593074311608e-02	4.817396033736272565e-01	1.804586555642814782e-02
nan	4.900000000000000000e+01	4.900000000000000189e-02	nan	4.337825377920029313e-02	4.920643210746326046e-01	1.926065443800079394e-02
nan	1.087500000000000000e+02	1.087499999999999994e-01	nan	5.493600769210438273e-02	3.979883828403405488e-01	1.924707323606966725e-02
nan	2.102500000000000000e+02	2.102499999999999925e-01	nan	5.626398519217445937e-02	3.388430668160350434e-01	2.022333353006366963e-02
nan	3.625000000000000000e+02	3.624999999999999334e-01	nan	5.712454543202483137e-02	4.084326584184089781e-01	2.177385492806571676e-02
nan	5.697500000000000000e+02	5.697499999999999787e-01	nan	6.430121972614344372e-02	4.330780606068259653e-01	1.908890217235503783e-02
nan	7.900000000000000000e+02	7.900000000000000355e-01	nan	6.925272260126646984e-02	3.619941713300914854e-01	2.189328552241454062e-02
nan	9.792500000000000000e+02	9.792500000000000648e-01	nan	6.557015388867526440e-02	4.235508183546213834e-01	1.922838423943895592e-02
nan	1.209000000000000000e+03	1.209000000000000075e+00	nan	7.328382651071407849e-02	4.463722527131853690e-01	1.901311093089286253e-02
nan	1.502500000000000000e+03	1.502499999999999947e+00	nan	7.497647356388270623e-02	4.285587479115335885e-01	2.024503600665794600e-02
nan	1.731500000000000000e+03	1.731500000000000039e+00	nan	7.605310887559468824e-02	3.820694260500546724e-01	1.870046386753654311e-02
nan	1.980250000000000000e+03	1.980250000000000066e+00	nan	7.937991406935651639e-02	4.577032996490266736e-01	1.889155998354619115e-02
nan	2.176250000000000000e+03	2.176250000000000018e+00	nan	6.425049188325360205e-02	4.579222419370522212e-01	1.953045600306380081e-02
