# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	6.316000000000000369e+01	6.316000000000000780e-02	nan	1.068390207538016078e-02	7.775986240732908616e-02	4.346914987327039903e-03
nan	1.634000000000000057e+02	1.633999999999999897e-01	nan	1.161299968169714723e-02	8.527018557174563529e-02	4.354739558781659664e-03
nan	3.474399999999999977e+02	3.474400000000000266e-01	nan	1.242894747654020235e-02	8.879776320344612284e-02	4.510330320164968217e-03
nan	6.255600000000000591e+02	6.255599999999998939e-01	nan	1.304825044502308518e-02	8.583720452440948834e-02	4.200849921135585766e-03
nan	1.037000000000000000e+03	1.037000000000000144e+00	nan	1.318526799639982948e-02	8.609675353935883346e-02	4.513730206136443504e-03
nan	1.591039999999999964e+03	1.591040000000000010e+00	nan	1.389122324878201177e-02	8.407009728746220323e-02	4.575430038514483391e-03
nan	2.183640000000000327e+03	2.183640000000000025e+00	nan	1.429228104881133388e-02	8.980246998335139619e-02	4.412595181940588522e-03
nan	2.696199999999999818e+03	2.696200000000000152e+00	nan	1.474519955061850962e-02	8.930997541277514717e-02	4.405184833183426255e-03
nan	3.235559999999999945e+03	3.235559999999999548e+00	nan	1.502229567275378472e-02	8.810384216667624391e-02	4.400225593909397152e-03
nan	3.814840000000000146e+03	3.814839999999999343e+00	nan	1.556360805314057141e-02	8.917528603008545440e-02	4.228182419313668457e-03
nan	4.406159999999999854e+03	4.406159999999999854e+00	nan	1.595554207562201871e-02	8.837823670265292086e-02	4.305321456872021960e-03
nan	4.921440000000000509e+03	4.921439999999999593e+00	nan	1.635937952066285686e-02	8.694434992625378611e-02	4.184012102314653252e-03
nan	5.393199999999999818e+03	5.393199999999999328e+00	nan	1.672869453459668171e-02	8.664854540472652356e-02	4.089672553444003225e-03
