# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	1.127999999999999972e+02	1.127999999999999836e-01	nan	3.915902872159134074e-02	2.712611450085973708e+00	3.721960175149363614e-02
nan	2.916000000000000227e+02	2.915999999999999703e-01	nan	4.033376762313593822e-02	2.513752929664287539e+00	3.751439469190529646e-02
nan	6.327999999999999545e+02	6.327999999999999181e-01	nan	5.733955251116640284e-02	2.449861332222379673e+00	3.913533061130571727e-02
nan	1.187599999999999909e+03	1.187600000000000211e+00	nan	5.776391169574708606e-02	2.206074739801339835e+00	3.769113630649343488e-02
nan	2.062400000000000091e+03	2.062399999999999789e+00	nan	6.256310171723100666e-02	2.253019316560705754e+00	4.128273162739794916e-02
nan	3.268599999999999909e+03	3.268600000000000172e+00	nan	6.721153368319790489e-02	2.030419222381850908e+00	4.150069823776902922e-02
nan	4.641800000000000182e+03	4.641799999999999038e+00	nan	6.900025819069810495e-02	1.972202152782633888e+00	4.352056891977902631e-02
nan	5.840600000000000364e+03	5.840600000000000236e+00	nan	7.170085140191986839e-02	1.777433459196365195e+00	4.052611131549675033e-02
nan	7.154000000000000000e+03	7.153999999999999027e+00	nan	7.485673179842251834e-02	1.793238536000373085e+00	4.042841314221714416e-02
nan	8.407000000000000000e+03	8.407000000000000028e+00	nan	7.666318494567292419e-02	1.591799708257662704e+00	4.141632426718899751e-02
nan	9.717000000000000000e+03	9.717000000000002302e+00	nan	7.900558522912888570e-02	1.507876231400257172e+00	4.076556338835306270e-02
nan	1.091060000000000036e+04	1.091059999999999874e+01	nan	8.160229691533515961e-02	1.444188605696111960e+00	3.879799145926501186e-02
nan	1.179020000000000073e+04	1.179020000000000046e+01	nan	8.330222865920973441e-02	1.365202297338005355e+00	4.013189740798601968e-02
