# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	4.403125000000000000e+02	4.403124999999999956e-01	nan	1.550930660032934227e-02	2.702746507418660182e-01	1.682157082270019366e-02
nan	8.093750000000000000e+02	8.093750000000000666e-01	nan	1.630558670563342361e-02	2.664821362630084289e-01	1.556678740454797705e-02
nan	1.354625000000000000e+03	1.354624999999999968e+00	nan	1.690938431168476086e-02	2.643346236268966365e-01	1.523807619821493375e-02
nan	2.054375000000000000e+03	2.054374999999999840e+00	nan	1.724021429319488874e-02	2.700838399534524203e-01	1.495453997310725036e-02
nan	2.805750000000000000e+03	2.805749999999999744e+00	nan	1.793312233631283448e-02	2.548331636648095144e-01	1.431793307931283898e-02
nan	3.472812500000000000e+03	3.472812499999999858e+00	nan	1.843995102821516241e-02	2.567745858352565858e-01	1.447837227937054383e-02
nan	4.165875000000000000e+03	4.165874999999999773e+00	nan	1.880494970379498199e-02	2.585168884130361611e-01	1.405123708714295372e-02
nan	4.884750000000000000e+03	4.884750000000000369e+00	nan	1.937584771079681190e-02	2.579737728440415490e-01	1.435038765552820728e-02
nan	5.675812500000000000e+03	5.675812500000000149e+00	nan	1.997481719576121861e-02	2.698044729210209436e-01	1.335916494012168165e-02
nan	6.362250000000000000e+03	6.362250000000000405e+00	nan	2.043082140872609642e-02	2.483815082525522022e-01	1.344310303932927386e-02
nan	6.954125000000000000e+03	6.954125000000000334e+00	nan	2.094480299969347925e-02	2.663465983362142131e-01	1.348535733149436311e-02
